Game,GAD_T,SWL_T,SPIN_T
Skyrim,5.086956521739131,21.782608695652176,23.608695652173914
Other,5.720348204570185,19.251360174102285,21.058759521218715
World of Warcraft,5.380281690140845,19.070422535211268,21.5
Starcraft 2,4.963696369636963,20.966996699669966,18.72937293729373
League of Legends,5.431978107896795,19.626465989053948,20.122458952306488
Counter Strike,5.36013986013986,18.363636363636363,19.95104895104895
Destiny,3.388888888888889,21.555555555555557,17.38888888888889
Diablo 3,5.9625,18.3875,24.125
Heroes of the Storm,5.864864864864865,18.513513513513512,22.35135135135135
Hearthstone,6.247191011235955,20.03370786516854,19.55056179775281
Guild Wars 2,4.7272727272727275,19.424242424242426,21.333333333333332
